"","rank","name","net_worth","age","country","source","industry","citizenship","education"
"447",445,"Thomas Schmidheiny",5.7,77,"Switzerland","Cement","Construction & Engineering","Switzerland","Doctorate, Tufts University; Bachelor of Arts/Science, Zurich Polytechnic"
"448",445,"Helmut Sohmen",5.7,83,"Austria","Shipping","Logistics","Austria","Doctor of Jurisprudence, Southern Methodist University; Bachelor of Arts/Science, University of Vienna"
"449",445,"Daniel Ziff",5.7,51,"United States","Investments","Finance & Investments","United States","Bachelor of Arts/Science, Columbia University"
"450",445,"Dirk Ziff",5.7,59,"United States","Investments","Finance & Investments","United States","Bachelor of Arts/Science, Columbia University; Master of Business Administration, Harvard University"
"451",445,"Robert Ziff",5.7,56,"United States","Investments","Finance & Investments","United States","Doctor of Jurisprudence, Cornell University; Bachelor of Arts/Science, Harvard University"
"452",455,"Maria Angelicoussis",5.6,41,"Greece","Shipping","Logistics","Greece","Medical Doctor, Cambridge; University College London"
"453",455,"Ray Lee Hunt",5.6,79,"United States","Oil, real estate","Energy","United States","Bachelor of Arts/Science, Southern Methodist University"
"454",455,"Lai Meisong",5.6,52,"China","Package delivery","Logistics","China",NA
"455",455,"Vikram Lal & family",5.6,81,"India","Motorcycles","Automotive","India",NA
"456",455,"Ken Langone",5.6,87,"United States","Investments","Finance & Investments","United States","Bachelor of Arts/Science, Bucknell University; Master of Business Administration, Leonard N. Stern School of Business"
"457",455,"Li Ge",5.6,56,"United States","Pharmaceutical ingredients","Healthcare","United States","Ph.D, Columbia University"
"458",455,"Karen Pritzker",5.6,65,"United States","Hotels, investments","Finance & Investments","United States","Bachelor of Arts/Science, Northwestern University"
"459",455,"Robert Rowling",5.6,69,"United States","Hotels, investments","Service","United States","Doctor of Jurisprudence, Southern Methodist University; Bachelor of Arts/Science, The University of Texas at Austin"
"460",455,"Teddy Sagi",5.6,51,"Israel","Gambling software","Gambling & Casinos","Israel",NA
"461",455,"Seo Jung-jin",5.6,65,"South Korea","Biotech","Healthcare","South Korea","Bachelor of Arts/Science, Konkuk University; Master of Science, Konkuk University"
"462",455,"Wu Jianshu",5.6,59,"Hong Kong","Auto parts","Automotive","Hong Kong",NA
"463",466,"Micky Arison",5.5,73,"United States","Carnival Cruises","Service","United States","Drop Out, University of Miami"
"464",466,"James Chambers",5.5,65,"United States","Media, automotive","Media & Entertainment","United States","Bachelor of Arts/Science, Bard College"
"465",466,"Pierre Chen",5.5,66,"Taiwan","Electronics","Technology","Taiwan","Bachelor of Arts/Science, National Cheng Kung University"
"466",466,"John Collison",5.5,32,"Ireland","Payments software","Technology","Ireland","Drop Out, Harvard University"
"467",466,"Patrick Collison",5.5,34,"Ireland","Payment software","Technology","Ireland","Drop Out, Massachusetts Institute of Technology"
"468",466,"Archie Aldis Emmerson & family",5.5,93,"United States","Timberland, lumber mills","Manufacturing","United States","Diploma, High School"
"469",466,"Piero Ferrari",5.5,77,"Italy","Automobiles","Automotive","Italy",NA
"470",466,"Dan Friedkin",5.5,58,"United States","Toyota dealerships","Automotive","United States","Bachelor of Arts/Science, Georgetown University; Master of Business Administration, Rice University"
"471",466,"James Irving",5.5,95,"Canada","Diversified","Diversified","Canada",NA
"472",466,"Jiang Weiping & family",5.5,68,"China","Chemicals","Manufacturing","China","Bachelor of Science in Engineering, Xihua University"
"473",466,"Wolfgang Marguerre & family",5.5,81,"Germany","Pharmaceuticals","Healthcare","Germany",NA
"474",466,"Ludwig Merckle",5.5,58,"Germany","Pharmaceuticals","Finance & Investments","Germany",NA
"475",466,"Mitchell Rales",5.5,66,"United States","Manufacturing, investments","Manufacturing","United States","Bachelor of Arts/Science, Miami University of Ohio"
"476",466,"Katharine Rayner",5.5,78,"United States","Media, automotive","Media & Entertainment","United States","Bachelor of Arts/Science, Sarah Lawrence college"
"477",466,"Jean Salata",5.5,57,"Chile","Finance","Finance & Investments","Chile","Bachelor of Business Administration, University of Pennsylvania, The Wharton School"
"478",466,"Paul Singer",5.5,78,"United States","Hedge funds","Finance & Investments","United States","Doctor of Jurisprudence, Harvard University; Bachelor of Arts/Science, University of Rochester"
"479",466,"Sergio Stevanato & family",5.5,80,"Italy","Medical packaging","Healthcare","Italy","Law Degree, University of Ferrara"
"480",466,"Margaretta Taylor",5.5,80,"United States","Media, automotive","Media & Entertainment","United States","Bachelor of Arts/Science, Finch College"
"481",466,"Richard White",5.5,68,"Australia","Software","Technology","Australia","Master of Business Administration, University of Technology, Sydney"
"482",466,"Zhao Yan",5.5,56,"China","Biotech","Diversified","China","Master of Business Administration, Fordham University"
"483",486,"Patrizio Bertelli",5.4,77,"Italy","Luxury goods","Fashion & Retail","Italy","Master of Business Administration, University of Florence"
"484",486,"Mahendra Choksi & family",5.4,81,"India","Paints","Manufacturing","India","Bachelor of Engineering, University of Mumbai; Master of Science, University of Mumbai"
"485",486,"Mat Ishbia",5.4,43,"United States","Mortgage lender","Finance & Investments","United States","Bachelor of Business Administration, Michigan State University"
"486",486,"Leo Koguan",5.4,68,"United States","IT provider","Technology","United States","Master, Columbia University; Law Degree, New York Law School"
"487",486,"Miao Hangen",5.4,58,"China","Textiles, petrochemicals","Diversified","China",NA
"488",486,"Michael Pieper",5.4,77,"Switzerland","Kitchen appliances","Manufacturing","Switzerland","Master of Business Administration, St Gallen University"
"489",486,"Miuccia Prada",5.4,73,"Italy","Luxury goods","Fashion & Retail","Italy","Doctorate, University of Milan; Doctorate in Pedagogical Sciences, University of Milan"
"490",486,"Wolfgang Reimann",5.4,70,"Germany","Consumer goods","Fashion & Retail","Germany",NA
"491",486,"Matthias Reimann-Andersen",5.4,58,"Germany","Consumer goods","Fashion & Retail","Germany",NA
"492",486,"Stefan Reimann-Andersen",5.4,59,"Germany","Consumer goods","Fashion & Retail","Germany",NA
"493",486,"Renate Reimann-Haas",5.4,71,"Germany","Consumer goods","Fashion & Retail","Germany",NA
"494",497,"Todd Boehly",5.3,49,"United States","Finance","Finance & Investments","United States","Bachelor of Business Administration, College of William & Mary"
"495",497,"Rick Caruso",5.3,64,"United States","Real estate","Real Estate","United States","Doctor of Jurisprudence, Pepperdine University; Bachelor of Arts/Science, University of Southern California"
"496",497,"Ibrahim Erdemoglu",5.3,60,"Turkey","Carpet","Manufacturing","Turkey",NA
"497",497,"Elizabeth Johnson",5.3,59,"United States","Fidelity","Finance & Investments","United States","Bachelor of Arts/Science, Franklin Pierce University"
"498",497,"Douglas Leone",5.3,65,"United States","Venture capital","Finance & Investments",NA,NA
"499",497,"Prajogo Pangestu",5.3,78,"Indonesia","Petrochemicals","Diversified","Indonesia",NA
"500",497,"Thomas Pritzker",5.3,72,"United States","Hotels, investments","Finance & Investments","United States","Bachelor of Arts/Science, Claremont McKenna College; Doctor of Jurisprudence, University of Chicago; Master of Business Administration, University of Chicago"
"501",497,"Lynda Resnick",5.3,80,"United States","Agriculture","Food & Beverage","United States",NA
"502",497,"Stewart Resnick",5.3,86,"United States","Agriculture","Food & Beverage","United States",NA
"503",497,"Gary Rollins",5.3,78,"United States","Pest control","Service","United States","Bachelor of Arts/Science, University of Tennessee Chattanooga"
"504",497,"Mark Walter",5.3,62,"United States","Finance, asset management","Finance & Investments","United States","Bachelor of Arts/Science, Creighton University; Doctor of Jurisprudence, Northwestern University"
"505",497,"Ronald Wanek",5.3,81,"United States","Furniture","Manufacturing","United States","High School Graduate, High School"
"506",497,"Erich Wesjohann & family",5.3,77,"Germany","Poultry genetics","Food & Beverage","Germany",NA
"507",497,"M.A. Yusuff Ali",5.3,67,"India","Retail","Fashion & Retail","India",NA
"508",511,"Alexandre Behring",5.2,56,"Brazil","Investments","Finance & Investments","Brazil","EMBA, Harvard University"
"509",511,"Cheng Xue",5.2,53,"China","Soy sauce","Food & Beverage","China",NA
"510",511,"Robert Faith",5.2,59,"United States","Real estate management","Real Estate","United States","Master of Business Administration, Harvard Business School; Bachelor of Science, University of Oklahoma"
"511",511,"Gao Dekang & family",5.2,71,"China","Apparel","Fashion & Retail","China","EMBA, Phoenix International University"
"512",511,"Micky Jagtiani",5.2,71,"India","Retail","Fashion & Retail","India",NA
"513",511,"Ananda Krishnan",5.2,85,"Malaysia","Telecoms, media, oil-services","Telecom","Malaysia","Master of Business Administration, Harvard University; Bachelor of Arts/Science, Melbourne University"
"514",511,"Barry Lam",5.2,73,"Taiwan","Electronics","Technology","Taiwan","Bachelor of Arts/Science, National Taiwan University"
"515",511,"Robert Rich, Jr.",5.2,82,"United States","Frozen foods","Food & Beverage","United States","Master of Business Administration, Simon School of Business; Bachelor of Arts/Science, Williams College"
"516",511,"Mark Scheinberg",5.2,49,"Canada","Online gambling","Gambling & Casinos","Canada","Drop Out, Fanshawe College"
"517",511,"Charles Simonyi",5.2,74,"United States","Microsoft","Technology","United States","Doctorate, Stanford University; Bachelor of Arts/Science, University of California, Berkeley"
"518",511,"Ty Warner",5.2,78,"United States","Plush toys, real estate","Real Estate","United States","Drop Out, Kalamazoo College"
"519",511,"Sam Zell",5.2,81,"United States","Real estate, private equity","Real Estate","United States","Bachelor of Arts/Science, University of Michigan; Doctor of Jurisprudence, University of Michigan"
"520",523,"Wei Fang",5.1,49,"China","Steel","Manufacturing","China",NA
"521",523,"Rekha Jhunjhunwala",5.1,59,"India","Investments","Finance & Investments","India","Bachelor of Commerce, University of Mumbai"
"522",523,"Charles B. Johnson",5.1,90,"United States","Franklin Templeton","Finance & Investments","United States","Bachelor of Arts/Science, Yale University"
"523",523,"Kwon Hyuk-bin",5.1,49,"South Korea","Online games","Media & Entertainment","South Korea","Bachelor of Arts/Science, Sogang University"
"524",523,"Sami Mnaymneh",5.1,61,"United States","Private equity","Finance & Investments","United States","Bachelor of Arts/Economics, Columbia University; Master of Business Administration, Harvard Business School; Doctor of Jurisprudence, Harvard University"
"525",523,"Kjell Inge Rokke",5.1,64,"Norway","Shipping, seafood","Logistics","Norway",NA
"526",523,"Tony Tamer",5.1,65,"United States","Private equity","Finance & Investments","United States","Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Rutgers University; Master of Science in Engineering, Stanford University"
"527",523,"Tse Ping & family",5.1,71,"China","Pharmaceuticals","Healthcare","China",NA
"528",523,"Romesh T. Wadhwani",5.1,75,"United States","Software","Technology","United States","Doctorate, Carnegie Mellon University; Master of Science, Carnegie Mellon University; Bachelor of Arts/Science, Indian Institute of Technology, Bombay"
"529",523,"Hansjoerg Wyss",5.1,88,"Switzerland","Medical devices","Healthcare","Switzerland","Master of Business Administration, Harvard University; Master of Science, Swiss Federal Institute of Technology"
"530",523,"Denise York & family",5.1,72,"United States","San Francisco 49ers","Sports","United States",NA
"531",534,"Ron Baron",5,79,"United States","Money management","Finance & Investments","United States","Bachelor of Arts/Science, Bucknell University"
"532",534,"Robert Bass",5,75,"United States","Oil, investments","Energy","United States","Master of Business Administration, Stanford University; Bachelor of Arts/Science, Yale University"
"533",534,"Dona Bertarelli",5,55,"Switzerland","Biotech and investments","Healthcare","Switzerland",NA
"534",534,"Alexander Gerko",5,43,"United Kingdom","Trading","Finance & Investments","United Kingdom","Master of Science, Moscow State University; Ph.D, Moscow State University; Master of Economics, New Economic School"
"535",534,"Martin Haefner",5,69,"Switzerland","Software, investments","Technology","Switzerland",NA
"536",534,"Robert Hale, Jr.",5,56,"United States","Telecom","Telecom","United States","Bachelor of Arts/Science, Connecticut College"
"537",534,"Viktor Kharitonin",5,50,"Russia","Pharmaceuticals","Healthcare","Russia","Bachelor of Arts/Science, Novosibirsk State University"
"538",534,"Kim Beom-su",5,57,"South Korea","Online services","Technology","South Korea","Bachelor of Science in Engineering, Seoul National University; Master of Science, Seoul National University"
"539",534,"Jane Lauder",5,50,"United States","Estée Lauder","Fashion & Retail","United States","Bachelor of Arts/Science, Stanford University"
"540",534,"Michel Leclercq & family",5,83,"France","Sporting goods","Fashion & Retail","France",NA
"541",534,"George Lucas",5,78,"United States","Star Wars","Media & Entertainment","United States","Bachelor of Arts/Science, University of Southern California"
"542",534,"Janice McNair",5,86,"United States","Energy, sports","Sports","United States","Bachelor of Arts/Science, Columbia College"
"543",534,"Ugur Sahin",5,57,"Germany","Biotechnology","Healthcare","Germany",NA
"544",534,"Alexandra Schoerghuber & family",5,64,"Germany","Real estate","Real Estate","Germany",NA
"545",534,"Thomas Straumann",5,59,"Switzerland","Dental implants","Healthcare","Switzerland",NA
"546",534,"Murat Ulker",5,64,"Turkey","Food","Food & Beverage","Turkey","Bachelor of Arts/Science, Bogazici University"
"547",534,"Chip Wilson",5,66,"Canada","Lululemon","Fashion & Retail","Canada","Bachelor of Arts/Science, University of Calgary"
"548",552,"Jim Davis & family",4.9,79,"United States","New Balance","Manufacturing","United States","Bachelor of Arts/Science, Middlebury College"
"549",552,"Murali Divi & family",4.9,72,"India","Pharmaceuticals","Healthcare","India",NA
"550",552,"Dagmar Dolby & family",4.9,81,"United States","Dolby Laboratories","Technology","United States","Bachelor of Arts/Science, Heidelberg University"
"551",552,"Tom Golisano",4.9,81,"United States","Payroll services","Service","United States","Associate in Arts/Science, SUNY Tech Alfred"
"552",552,"Jonathan Gray",4.9,53,"United States","Investments","Finance & Investments","United States","Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
"553",552,"Bidzina Ivanishvili",4.9,67,"Georgia","Investments","Finance & Investments","Georgia",NA
"554",552,"Lim Hariyanto Wijaya Sarwono",4.9,94,"Indonesia","Palm oil, nickel mining","Metals & Mining","Indonesia",NA
"555",552,"Rudolf Maag",4.9,77,"Switzerland","Medical devices","Healthcare","Switzerland","Master of Business Administration, INSEAD"
"556",552,"Emanuele (Lino) Saputo & family",4.9,86,"Canada","Cheese","Food & Beverage","Canada","Diploma, High School"
"557",552,"Mark Shoen",4.9,72,"United States","U-Haul","Automotive","United States","Bachelor of Arts/Science, College of the Holy Cross"
"558",552,"Dan Snyder",4.9,58,"United States","Washington Commanders","Sports","United States","Drop Out, University of Maryland"
"559",552,"Chairul Tanjung",4.9,60,"Indonesia","Diversified","Diversified","Indonesia","Medical Doctor, University of Indonesia"
"560",552,"Kelcy Warren",4.9,67,"United States","Pipelines","Energy","United States","Bachelor of Arts/Science, University of Texas Arlington"
"561",552,"Zhang Tao",4.9,50,"China","E-commerce","Fashion & Retail","China","Master of Business Administration, The Wharton School of the University of Pennsylvania"
"562",567,"Michael Ashley",4.8,58,"United Kingdom","Sports retailing","Fashion & Retail","United Kingdom",NA
"563",567,"Tomasz Biernacki",4.8,50,"Poland","Supermarkets","Fashion & Retail","Poland",NA
"564",567,"Bernard Broermann",4.8,79,"Germany","Hospitals","Healthcare","Germany","Master of Business Administration, Harvard University"
"565",567,"Jimmy Haslam",4.8,69,"United States","Gas stations, retail","Fashion & Retail","United States","Bachelor of Arts/Science, University of Tennessee Knoxville"
"566",567,"H. Fisk Johnson",4.8,64,"United States","Cleaning products","Manufacturing","United States","Bachelor of Arts/Science, Cornell University; Doctorate, Cornell University; Master of Science, Cornell University; Master of Business Administration, Samuel Curtis Johnson Graduate School of Management"
"567",567,"S. Curtis Johnson",4.8,67,"United States","Cleaning products","Manufacturing","United States","Bachelor of Arts/Science, Cornell University; Master of Business Administration, Kellogg School of Management"
"568",567,"Helen Johnson-Leipold",4.8,66,"United States","Cleaning products","Manufacturing","United States","Bachelor of Arts/Science, Cornell University"
"569",567,"Vinod Khosla",4.8,68,"United States","Venture capital","Technology",NA,NA
"570",567,"Thai Lee",4.8,64,"United States","IT provider","Technology","United States","Bachelor of Arts/Science, Amherst College; Master of Business Administration, Harvard Business School"
"571",567,"Winifred J. Marquart",4.8,63,"United States","Cleaning products","Manufacturing","United States","Drop Out, Cornell University"
"572",567,"Pankaj Patel",4.8,70,"India","Pharmaceuticals","Healthcare","India","Bachelor of Arts/Science, Gujarat University; Master of Science, Gujarat University"
"573",567,"Horst Julius Pudwill",4.8,78,"Germany","Manufacturing","Manufacturing","Germany","Master of Science in Engineering, Technical College in Flensburg"
"574",567,"Yu Yong",4.8,62,"China","Mining","Finance & Investments","China",NA
"575",580,"Maria Fernanda Amorim & family",4.7,88,"Portugal","Energy, investments","Diversified","Portugal",NA
"576",580,"Gayle Benson",4.7,76,"United States","New Orleans Saints","Sports","United States","High School Graduate, High School"
"577",580,"Jason Chang",4.7,78,"Singapore","Electronics","Technology","Singapore","Bachelor of Arts/Science, National Taiwan University"
"578",580,"Ali Erdemoglu",4.7,63,"Turkey","Carpet","Manufacturing","Turkey",NA
"579",580,"Andre Esteves",4.7,54,"Brazil","Banking","Finance & Investments","Brazil","Bachelor of Arts/Science, Universidade Federal do Rio de Janeiro"
"580",580,"Carlo Fidani",4.7,68,"Canada","Real estate","Real Estate","Canada",NA
"581",580,"Hong Ra-hee",4.7,77,"South Korea","Samsung","Technology","South Korea","Bachelor of Arts/Science, Seoul National University"
"582",580,"Li Gaiteng",4.7,50,"China","Hair dryers","Manufacturing","China",NA
"583",580,"Thomas Secunda",4.7,68,"United States","Bloomberg LP","Media & Entertainment","United States","Bachelor of Arts/Science, SUNY Binghamton"
"584",580,"Zuowen Song",4.7,76,"China","Aluminum, diversified","Diversified","China",NA
"585",580,"Tim Sweeney",4.7,52,"United States","Video games","Media & Entertainment","United States","Bachelor of Arts/Science, University of Maryland, College Park"
"586",591,"Bert Beveridge",4.6,61,"United States","Vodka","Food & Beverage","United States","Bachelor of Arts/Science, University of Texas at Austin"
"587",591,"Mark Cuban",4.6,64,"United States","Online media, Dallas Mavericks","Media & Entertainment","United States","Bachelor of Arts/Science, Indiana University"
"588",591,"Charles Dolan & family",4.6,96,"United States","Cable television","Media & Entertainment","United States","Drop Out, John Carroll University"
"589",591,"Jack Dorsey",4.6,46,"United States","Twitter, Square","Technology","United States","Drop Out, New York University"
"590",591,"Fan Hongwei",4.6,56,"China","Petrochemicals","Energy","China",NA
"591",591,"Vladimir Kim",4.6,62,"Kazakhstan","Mining","Metals & Mining","Kazakhstan",NA
"592",591,"Andre Koo, Sr.",4.6,55,"Taiwan","Financial services","Finance & Investments","Taiwan","Master of Business Administration, Leonard N. Stern School of Business; Bachelor of Arts/Science, New York University"
"593",591,"Ronald Lauder",4.6,79,"United States","Estee Lauder","Fashion & Retail","United States","Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
"594",591,"Li Chunan",4.6,54,"China","Renewable energy","Manufacturing","China",NA
"595",591,"Forrest Li",4.6,45,"Singapore","Gaming","Media & Entertainment","Singapore","Bachelor of Engineering, Shanghai Jiaotong University; Master of Business Administration, Stanford Graduate School of Business"
"596",591,"Richard Li",4.6,56,"Hong Kong","Telecom","Telecom","Hong Kong","Drop Out, Stanford University"
"597",591,"Doug Meijer & family",4.6,69,"United States","Supermarkets","Fashion & Retail","United States",NA
"598",591,"Hank Meijer & family",4.6,71,"United States","Supermarkets","Fashion & Retail","United States",NA
"599",591,"Mark Meijer & family",4.6,65,"United States","Supermarkets","Fashion & Retail","United States",NA
"600",591,"Issad Rebrab & family",4.6,79,"Algeria","Food","Food & Beverage","Algeria",NA
"601",591,"Fred Smith",4.6,78,"United States","FedEx","Logistics","United States","Bachelor of Arts/Science, Yale University"
"602",591,"Barry Sternlicht",4.6,62,"United States","Private equity","Finance & Investments","United States","Bachelor of Arts/Science, Brown University"
"603",591,"Maximilian Viessmann",4.6,34,"Germany","Heating, cooling equipment","Manufacturing","Germany",NA
"604",591,"Russ Weiner",4.6,52,"United States","Energy drinks","Food & Beverage","United States","Bachelor of Arts/Science, San Diego State University"
"605",591,"Xue Min",4.6,66,"China","Healthcare","Healthcare","China",NA
"606",611,"Juan Domingo Beckmann Legorreta & family",4.5,55,"Mexico","Tequila","Food & Beverage","Mexico",NA
"607",611,"Dietmar Hopp & family",4.5,82,"Germany","Software","Technology","Germany","Master of Science, University of Karlsruhe"
"608",611,"Jiang Bin",4.5,56,"China","Acoustic components","Technology","China","Bachelor of Arts/Science, Beijing University of Aeronautics and Astronautics; Master of Business Administration, Tsinghua University"
"609",611,"Joseph Liemandt",4.5,54,"United States","Software","Technology","United States","Drop Out, Stanford University"
"610",611,"Theo Mueller",4.5,83,"Germany","Dairy","Food & Beverage","Germany",NA
"611",611,"N.R. Narayana Murthy",4.5,76,"India","Software services","Technology","India","Master of Science, Indian Institute of Technology"
"612",611,"Odd Reitan & family",4.5,71,"Norway","Retail, real estate","Fashion & Retail","Norway",NA
"613",611,"Marc Rowan",4.5,60,"United States","Private equity","Finance & Investments","United States","Bachelor of Arts/Science, University of Pennsylvania; Master of Business Administration, University of Pennsylvania, The Wharton School"
"614",611,"Hussain Sajwani",4.5,70,"United Arab Emirates","Real estate","Real Estate","United Arab Emirates","Bachelor of Arts/Science, University of Washington"
"615",611,"David Velez & family",4.5,41,"Colombia","Fintech","Finance & Investments","Colombia","Master of Business Administration, Stanford Graduate School of Business; Bachelor of Science, Stanford University"
"616",611,"Xu Jinfu",4.5,59,"China","Chemicals","Manufacturing","China",NA
"617",611,"Samuel Yin",4.5,72,"Taiwan","Retail","Diversified","Taiwan","Bachelor of Arts/Science, Chinese Culture University; Ph.D, National Chengchi University; Master of Business Administration, National Taiwan University"
"618",611,"You Xiaoping",4.5,65,"China","Chemicals, spandex","Manufacturing","China",NA
"619",624,"Stéphane Bancel",4.4,50,"France","Biotech, vaccines","Healthcare","France","Master of Science in Engineering, Ecole Centrale Paris; Master of Business Administration, Harvard University; Master of Science in Engineering, University of Minnesota"
"620",624,"Margot Birmingham Perot",4.4,89,"United States","Computer services, real estate","Technology","United States","Bachelor of Arts/Science, Goucher College"
"621",624,"Neal Blue & family",4.4,88,"United States","Defense","Manufacturing","United States","Bachelor of Arts/Science, Yale University"
"622",624,"Jim Davis",4.4,63,"United States","Staffing & recruiting","Service","United States","Bachelor of Arts/Science, Villanova University"
"623",624,"Rafael Del Pino",4.4,64,"Spain","Construction","Construction & Engineering","Spain","Master of Business Administration, MIT Sloan School of Management; Bachelor of Arts/Science, Universidad  Politecnica de Madrid"
"624",624,"Peter Grogg",4.4,81,"Switzerland","Biochemicals","Healthcare","Switzerland",NA
"625",624,"Christian Haub",4.4,58,"Germany","Retail","Fashion & Retail","Germany",NA
"626",624,"Mangal Prabhat Lodha",4.4,67,"India","Real estate","Real Estate","India",NA
"627",624,"Jeffrey Lurie & family",4.4,71,"United States","Philadelphia Eagles","Sports","United States","Doctorate, Brandeis University; Bachelor of Arts/Science, Clark University"
"628",624,"Joe Mansueto",4.4,66,"United States","Investment research","Finance & Investments","United States","Bachelor of Arts/Science, University of Chicago"
"629",624,"Qian Dongqi & family",4.4,65,"China","Home-cleaning robots","Manufacturing","China","Master of Philosophy, Nanjing University"
"630",624,"Mikhail Shelkov",4.4,54,"Russia","Titanium","Metals & Mining","Russia","Master of Science, Moscow Institute of Physics and Technology"
"631",636,"Patrick Drahi",4.3,59,"France","Telecom","Telecom","France",NA
"632",636,"Behdad Eghbali",4.3,46,"United States","Private equity","Finance & Investments","United States","Bachelor of Business Administration, University of California, Berkeley"
"633",636,"Juan Carlos Escotet",4.3,63,"Venezuela","Banking","Finance & Investments","Venezuela","Master, University of Miami"
"634",636,"Jose E. Feliciano",4.3,49,"United States","Private equity","Finance & Investments","United States","Bachelor of Engineering, Princeton University; Master of Business Administration, Stanford University"
"635",636,"Hu Kaijun",4.3,61,"China","Pharmaceuticals","Healthcare","China",NA
"636",636,"Johnelle Hunt",4.3,91,"United States","Trucking","Logistics","United States","Drop Out, University of Central Arkansas"
"637",636,"Marian Ilitch",4.3,90,"United States","Little Caesars Pizza","Food & Beverage","United States","Diploma, High School; High School Graduate, High School"
"638",636,"Daryl Katz",4.3,61,"Canada","Pharmacies","Diversified","Canada","Bachelor of Arts/Science, University of Alberta; Doctor of Jurisprudence, University of Alberta"
"639",636,"Andrei Kozitsyn",4.3,62,"Russia","Metals","Metals & Mining","Russia","Master of Science in Engineering, Ural Polytechnic Institute"
"640",636,"Timur Kulibaev",4.3,56,"Kazakhstan","Banking","Finance & Investments","Kazakhstan","Bachelor of Arts/Science, Moscow State University"
"641",636,"Dinara Kulibaeva",4.3,55,"Kazakhstan","Banking","Finance & Investments","Kazakhstan","Doctorate in Pedagogical Sciences, State Institute of Theatre Arts (GITIS, Moscow)"
"642",636,"Ian Livingstone",4.3,60,"United Kingdom","Real estate","Real Estate","United Kingdom",NA
"643",636,"Richard Livingstone",4.3,58,"United Kingdom","Real estate","Real Estate","United Kingdom",NA
"644",636,"Gwendolyn Sontheim Meyer",4.3,61,"United States","Cargill","Food & Beverage","United States",NA
"645",636,"Jay Paul",4.3,75,"United States","Real estate","Real Estate","United States","Bachelor of Arts/Science, Boston University"
"646",636,"Pham Nhat Vuong",4.3,54,"Vietnam","Diversified","Diversified","Vietnam",NA
"647",636,"Jon Stryker",4.3,64,"United States","Medical equipment","Healthcare","United States","Bachelor of Arts/Science, Kalamazoo College; Master of Architecture, University of California, Berkeley"
"648",636,"Daniel Tsai",4.3,66,"Taiwan","Finance","Finance & Investments","Taiwan","LLM, Georgetown University; LLB, National Taiwan University"
"649",636,"Richard Tsai",4.3,65,"Taiwan","Finance","Finance & Investments","Taiwan","Master of Business Administration, Leonard N. Stern School of Business; Graduate, National Taiwan University"
"650",636,"Frank Wang",4.3,42,"China","Drones","Technology","China","Bachelor of Arts/Science, Hong Kong University of Science and Technology; Master of Science, Hong Kong University of Science and Technology"
"651",636,"Wang Junshi & family",4.3,74,"China","Solar inverters","Manufacturing","China",NA
"652",636,"Wang Wenjing",4.3,58,"China","Business software","Technology","China","Bachelor of Arts/Science, Jiangxi University of Finance & Economics"
"653",636,"Herbert Wertheim",4.3,83,"United States","Investments","Finance & Investments","United States","Associate in Arts/Science, Brevard Community College; Bachelor of Arts/Science, Southern College of Optometry; Doctorate, Southern College of Optometry"
"654",659,"Shari Arison",4.2,65,"Israel","Carnival Cruises","Service","Israel","Drop Out, Miami Dade College"
"655",659,"Pyotr Aven",4.2,68,"Russia","Oil, banking, telecom","Finance & Investments","Russia","Ph.D, Moscow State University"
"656",659,"Chan Laiwa & family",4.2,82,"China","Real estate","Real Estate","China","Doctorate, Savannah College of Art and Design"
"657",659,"Chen Hua",4.2,57,"China","Real estate","Real Estate","China",NA
"658",659,"Thomas Hagen",4.2,87,"United States","Insurance","Finance & Investments","United States","Bachelor of Arts/Science, Ohio State University"
"659",659,"Rupert Johnson, Jr.",4.2,82,"United States","Franklin Templeton","Finance & Investments","United States","Bachelor of Arts/Science, Washington & Lee University"
"660",659,"Dewi Kam",4.2,72,"Indonesia","Coal","Energy","Indonesia",NA
"661",659,"Min Kao & family",4.2,74,"United States","Navigation equipment","Technology","United States","Bachelor of Arts/Science, National Taiwan University; Doctorate, University of Tennessee Knoxville; Master of Science, University of Tennessee Knoxville"
"662",659,"Marc Ladreit de Lacharriere",4.2,82,"France","Finance","Finance & Investments","France",NA
"663",659,"Eric Lefkofsky",4.2,53,"United States","Groupon, investments","Technology","United States","Bachelor of Arts/Science, University of Michigan; Doctor of Jurisprudence, University of Michigan"
"664",659,"Lin Bin",4.2,55,"United States","Smartphones","Technology","United States","Master, Drexel University; Bachelor of Arts/Science, Sun Yat-sen University"
"665",659,"Lin Li",4.2,59,"China","Investments","Finance & Investments","China","Chinese Academy of Social Sciences; Bachelor of Arts/Science, Hubei University of Technology"
"666",659,"Michael Moritz",4.2,68,"United States","Venture capital","Technology",NA,NA
"667",659,"Jean (Gigi) Pritzker",4.2,60,"United States","Hotels, investments","Service","United States","Bachelor of Arts/Science, Stanford University"
"668",659,"E. Joe Shoen",4.2,73,"United States","U-Haul","Automotive","United States","Bachelor of Arts/Science, College of the Holy Cross; Master of Business Administration, Harvard Business School"
"669",659,"Jeff Skoll",4.2,58,"United States","EBay","Technology","United States","Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Toronto"
